invoice_id,customer_name,customer_segment,invoice_date,due_date,invoice_amount,paid_amount,outstanding_balance,days_overdue,aging_bucket,status,region,sales_rep
INV-0001,UniMart Ltd,Retail,2025-03-22,2025-04-21,11548.93,0.0,11548.93,41,31-60,Overdue,North,Maria Lopez
INV-0002,Vertex Supply,SMB,2024-12-31,2025-03-01,2073.24,2073.24,0.0,0,Current,Paid,Central,Carlos Perez
INV-0003,Harbor Goods,SMB,2025-01-08,2025-02-07,35942.97,0.0,35942.97,114,90+,Overdue,Central,Maria Lopez
INV-0004,NovaTech Ltd,Corporate,2025-01-01,2025-02-15,40566.81,40566.81,0.0,0,Current,Paid,South,Andres Gomez
INV-0005,Zenith Corp,Corporate,2025-03-05,2025-04-19,8196.24,0.0,8196.24,43,31-60,Overdue,South,Valentina Cruz
INV-0006,KeyStone LLC,SMB,2025-02-23,2025-03-10,18269.48,5451.44,12818.04,83,61-90,Partial,North,Carlos Perez
INV-0007,BlueStar Ltd,Corporate,2025-02-24,2025-03-11,27826.01,0.0,27826.01,82,61-90,Overdue,West,Carlos Perez
INV-0008,TechWorld Inc,Corporate,2025-05-14,2025-05-29,33232.53,0.0,33232.53,3,1-30,Overdue,East,Luis Mendez
INV-0009,CityRetail SA,Retail,2025-02-23,2025-04-09,22943.81,0.0,22943.81,53,31-60,Overdue,South,Carlos Perez
INV-0010,FastMart Inc,Retail,2025-04-08,2025-05-23,35240.11,0.0,35240.11,9,1-30,Overdue,East,Diego Herrera
INV-0011,CityRetail SA,Retail,2025-01-15,2025-02-14,8588.42,7232.67,1355.75,107,90+,Partial,Central,Ana Torres
INV-0012,UniMart Ltd,Retail,2024-12-07,2025-01-21,42221.17,0.0,42221.17,131,90+,Overdue,Central,Luis Mendez
INV-0013,Harbor Goods,SMB,2025-02-18,2025-04-04,3776.34,0.0,3776.34,58,31-60,Overdue,North,Diego Herrera
INV-0014,SkyLink SA,SMB,2024-12-15,2025-02-13,20083.78,0.0,20083.78,108,90+,Overdue,East,Luis Mendez
INV-0015,Omega Retail,Retail,2025-04-26,2025-05-26,37376.95,24678.52,12698.43,6,1-30,Partial,South,Sofia Ruiz
INV-0016,NovaTech Ltd,Corporate,2025-02-28,2025-03-30,49867.63,49867.63,0.0,0,Current,Paid,Central,Valentina Cruz
INV-0017,PrimeParts Co,SMB,2025-05-03,2025-06-02,31558.58,0.0,31558.58,0,Current,Current,North,Maria Lopez
INV-0018,Zenith Corp,Corporate,2025-02-22,2025-04-23,29996.48,8655.8,21340.68,39,31-60,Partial,West,Carlos Perez
