vendor_id,vendor_name,vendor_category,region,invoice_id,invoice_date,due_date,payment_terms,invoice_amount,paid_amount,outstanding_balance,payment_date,days_outstanding,days_overdue,payment_status,discount_rate,discount_captured
VND-001,Acero Nacional SA,Materials,West,INV-0001,2025-04-06,2025-07-05,90,15125.38,0.0,15125.38,,56,0,Pending,0.01,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0002,2025-05-05,2025-06-19,45,58593.45,0.0,58593.45,,27,0,Pending,0.0,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0003,2025-01-22,2025-02-21,30,34309.5,34309.5,0.0,2025-03-19,130,100,Paid,0.01,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0004,2025-02-21,2025-04-22,60,69057.88,69057.88,0.0,2025-04-04,100,40,Paid,0.01,690.58
VND-001,Acero Nacional SA,Materials,West,INV-0005,2025-04-12,2025-07-11,90,27765.73,0.0,27765.73,,50,0,Pending,0.0,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0006,2025-02-13,2025-02-28,15,22282.54,7882.94,14399.6,2025-04-23,108,93,Partial,0.0,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0007,2025-05-07,2025-07-06,60,41973.74,0.0,41973.74,,25,0,Pending,0.01,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0008,2025-05-14,2025-06-28,45,11202.04,0.0,11202.04,,18,0,Pending,0.01,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0009,2025-02-03,2025-05-04,90,74062.91,74062.91,0.0,2025-05-26,118,28,Paid,0.01,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0010,2025-04-12,2025-04-27,15,9673.6,6517.76,3155.84,2025-04-18,50,35,Partial,0.01,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0011,2025-02-08,2025-02-23,15,12290.01,12290.01,0.0,2025-02-12,113,98,Paid,0.0,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0012,2025-01-14,2025-03-15,60,16862.76,0.0,16862.76,,138,78,Overdue,0.0,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0013,2025-02-03,2025-03-20,45,44092.2,44092.2,0.0,2025-03-19,118,73,Paid,0.01,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0014,2025-01-26,2025-02-10,15,11343.23,0.0,11343.23,,126,111,Overdue,0.01,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0015,2025-02-12,2025-02-27,15,8622.18,8622.18,0.0,2025-02-17,109,94,Paid,0.01,86.22
VND-001,Acero Nacional SA,Materials,West,INV-0016,2025-02-12,2025-03-14,30,74006.58,74006.58,0.0,2025-04-09,109,79,Paid,0.02,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0017,2025-03-29,2025-05-13,45,10259.85,10259.85,0.0,2025-04-02,64,19,Paid,0.02,205.2
VND-001,Acero Nacional SA,Materials,West,INV-0018,2025-01-19,2025-03-05,45,1880.73,1880.73,0.0,2025-02-12,133,88,Paid,0.0,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0019,2025-02-14,2025-03-31,45,65967.0,65967.0,0.0,2025-03-09,107,62,Paid,0.025,1649.18
VND-001,Acero Nacional SA,Materials,West,INV-0020,2025-01-11,2025-01-26,15,15316.81,15316.81,0.0,2025-02-19,141,126,Paid,0.0,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0021,2025-02-14,2025-04-15,60,19186.57,0.0,19186.57,,107,47,Overdue,0.01,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0022,2025-03-09,2025-03-24,15,70064.18,70064.18,0.0,2025-03-16,84,69,Paid,0.02,1401.28
VND-001,Acero Nacional SA,Materials,West,INV-0023,2025-02-18,2025-04-04,45,35611.9,35611.9,0.0,2025-04-18,103,58,Paid,0.0,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0024,2025-03-23,2025-04-07,15,40748.9,40748.9,0.0,2025-04-25,70,55,Paid,0.02,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0025,2025-04-25,2025-06-09,45,35042.83,0.0,35042.83,,37,0,Pending,0.02,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0026,2024-12-10,2025-03-10,90,13594.17,0.0,13594.17,,173,83,Overdue,0.025,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0027,2024-12-24,2025-03-24,90,53675.75,53675.75,0.0,2025-02-05,159,69,Paid,0.025,1341.89
VND-001,Acero Nacional SA,Materials,West,INV-0028,2025-04-07,2025-05-22,45,1340.59,0.0,1340.59,,55,10,Overdue,0.02,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0029,2025-04-08,2025-05-08,30,63369.91,0.0,63369.91,,54,24,Overdue,0.02,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0030,2025-03-29,2025-05-28,60,68979.93,0.0,68979.93,,64,4,Overdue,0.02,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0031,2025-05-27,2025-06-11,15,40630.84,0.0,40630.84,,5,0,Pending,0.01,0.0
VND-001,Acero Nacional SA,Materials,West,INV-0032,2025-03-09,2025-04-08,30,41378.16,41378.16,0.0,2025-04-17,84,54,Paid,0.025,0.0
VND-002,TechSupplies Inc,IT,West,INV-0033,2025-01-28,2025-04-28,90,42951.45,42951.45,0.0,2025-01-30,124,34,Paid,0.02,859.03
VND-002,TechSupplies Inc,IT,West,INV-0034,2025-05-01,2025-06-15,45,6970.15,0.0,6970.15,,31,0,Pending,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0035,2025-02-10,2025-03-27,45,30168.89,30168.89,0.0,2025-02-16,111,66,Paid,0.02,603.38
VND-002,TechSupplies Inc,IT,West,INV-0036,2025-02-15,2025-04-16,60,63350.62,12032.06,51318.56,2025-03-04,106,46,Partial,0.02,0.0
VND-002,TechSupplies Inc,IT,West,INV-0037,2025-02-02,2025-04-03,60,34034.88,34034.88,0.0,2025-02-15,119,59,Paid,0.01,340.35
VND-002,TechSupplies Inc,IT,West,INV-0038,2025-03-18,2025-05-17,60,46240.43,46240.43,0.0,2025-05-15,75,15,Paid,0.025,0.0
VND-002,TechSupplies Inc,IT,West,INV-0039,2025-01-25,2025-04-25,90,71541.42,0.0,71541.42,,127,37,Overdue,0.025,0.0
VND-002,TechSupplies Inc,IT,West,INV-0040,2025-05-08,2025-08-06,90,19926.27,0.0,19926.27,,24,0,Pending,0.025,0.0
VND-002,TechSupplies Inc,IT,West,INV-0041,2025-04-28,2025-06-12,45,63904.89,0.0,63904.89,,34,0,Pending,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0042,2025-05-26,2025-08-24,90,54769.74,0.0,54769.74,,6,0,Pending,0.02,0.0
VND-002,TechSupplies Inc,IT,West,INV-0043,2024-12-29,2025-02-12,45,33701.17,33701.17,0.0,2025-01-01,154,109,Paid,0.01,337.01
VND-002,TechSupplies Inc,IT,West,INV-0044,2025-02-15,2025-03-02,15,4772.75,0.0,4772.75,,106,91,Overdue,0.01,0.0
VND-002,TechSupplies Inc,IT,West,INV-0045,2025-03-14,2025-04-13,30,67188.87,0.0,67188.87,,79,49,Overdue,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0046,2025-02-10,2025-03-12,30,64622.99,18802.77,45820.22,2025-05-06,111,81,Partial,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0047,2025-02-23,2025-03-10,15,45216.38,45216.38,0.0,2025-03-16,98,83,Paid,0.01,0.0
VND-002,TechSupplies Inc,IT,West,INV-0048,2025-02-26,2025-05-27,90,7435.58,7435.58,0.0,2025-06-23,95,5,Paid,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0049,2025-04-22,2025-05-22,30,44080.53,44080.53,0.0,2025-06-12,40,10,Paid,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0050,2025-02-19,2025-03-21,30,28958.78,0.0,28958.78,,102,72,Overdue,0.01,0.0
VND-002,TechSupplies Inc,IT,West,INV-0051,2024-12-22,2025-01-21,30,27867.26,27867.26,0.0,2025-02-16,161,131,Paid,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0052,2024-12-18,2025-02-16,60,15851.23,15851.23,0.0,2025-02-21,165,105,Paid,0.01,0.0
VND-002,TechSupplies Inc,IT,West,INV-0053,2025-01-20,2025-04-20,90,58724.66,58724.66,0.0,2025-04-17,132,42,Paid,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0054,2025-05-03,2025-06-02,30,45773.11,0.0,45773.11,,29,0,Pending,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0055,2025-04-16,2025-05-16,30,62149.56,62149.56,0.0,2025-05-04,46,16,Paid,0.02,1242.99
VND-002,TechSupplies Inc,IT,West,INV-0056,2025-05-16,2025-08-14,90,32325.6,0.0,32325.6,,16,0,Pending,0.02,0.0
VND-002,TechSupplies Inc,IT,West,INV-0057,2025-04-24,2025-05-09,15,70595.52,70595.52,0.0,2025-05-09,38,23,Paid,0.02,0.0
VND-002,TechSupplies Inc,IT,West,INV-0058,2025-02-07,2025-02-22,15,4183.28,0.0,4183.28,,114,99,Overdue,0.01,0.0
VND-002,TechSupplies Inc,IT,West,INV-0059,2025-03-07,2025-04-21,45,53455.28,53455.28,0.0,2025-03-24,86,41,Paid,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0060,2024-12-22,2025-01-21,30,44290.13,44290.13,0.0,2025-01-31,161,131,Paid,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0061,2025-02-14,2025-04-15,60,41469.51,41469.51,0.0,2025-03-12,107,47,Paid,0.01,414.7
VND-002,TechSupplies Inc,IT,West,INV-0062,2025-05-14,2025-06-13,30,20099.45,0.0,20099.45,,18,0,Pending,0.02,0.0
VND-002,TechSupplies Inc,IT,West,INV-0063,2025-01-02,2025-01-17,15,35342.2,35342.2,0.0,2025-01-22,150,135,Paid,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0064,2025-04-11,2025-05-26,45,5840.46,5840.46,0.0,2025-05-08,51,6,Paid,0.02,116.81
VND-002,TechSupplies Inc,IT,West,INV-0065,2025-04-19,2025-05-04,15,74680.76,56448.27,18232.49,2025-05-18,43,28,Partial,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0066,2025-05-09,2025-06-08,30,47470.01,0.0,47470.01,,23,0,Pending,0.02,0.0
VND-002,TechSupplies Inc,IT,West,INV-0067,2025-01-25,2025-04-25,90,8188.53,8188.53,0.0,2025-04-08,127,37,Paid,0.01,81.89
VND-002,TechSupplies Inc,IT,West,INV-0068,2025-01-23,2025-02-22,30,57522.03,13872.78,43649.25,2025-03-09,129,99,Partial,0.0,0.0
VND-002,TechSupplies Inc,IT,West,INV-0069,2025-04-23,2025-06-22,60,59314.02,0.0,59314.02,,39,0,Pending,0.01,0.0
VND-002,TechSupplies Inc,IT,West,INV-0070,2024-12-03,2025-01-17,45,14259.59,14259.59,0.0,2025-01-05,180,135,Paid,0.0,0.0
