dispute_id,invoice_id,vendor_id,vendor_name,vendor_category,region,dispute_date,dispute_type,invoice_amount,dispute_amount,priority,assigned_to,status,days_open,resolution_date,resolution_days,resolution_outcome,credit_amount
DIS-0001,INV-1001,VND-001,Acero Nacional SA,Materials,North,2025-01-11,Contract Terms,28264.73,4371.24,Low,Carlos Mendez,Resolved,141,2025-01-18,7,Full Credit,4371.24
DIS-0002,INV-1002,VND-001,Acero Nacional SA,Materials,North,2025-02-09,Contract Terms,27102.78,13592.42,Medium,Valeria Moreno,Resolved,112,2025-04-28,78,Full Credit,13592.42
DIS-0003,INV-1003,VND-001,Acero Nacional SA,Materials,North,2025-05-28,Missing Goods,77086.7,13085.04,Medium,Sofia Ruiz,Open,4,,,Pending,0.0
DIS-0004,INV-1004,VND-001,Acero Nacional SA,Materials,North,2024-12-10,Missing Goods,14709.98,4927.04,Medium,Marta Lopez,Closed,173,2025-03-16,96,Partial Credit,1354.42
DIS-0005,INV-1005,VND-001,Acero Nacional SA,Materials,North,2024-11-19,Missing Goods,12486.02,3369.77,Medium,Luis Herrera,Escalated,194,2024-11-27,8,Payment Adjusted,1379.0
DIS-0006,INV-1006,VND-001,Acero Nacional SA,Materials,North,2025-04-21,Duplicate Invoice,86255.18,60366.79,Medium,Diego Castillo,In Progress,41,,,Pending,0.0
DIS-0007,INV-1007,VND-001,Acero Nacional SA,Materials,North,2024-12-01,Contract Terms,24903.17,6231.6,Critical,Carlos Mendez,Resolved,182,2024-12-25,24,Partial Credit,2161.66
DIS-0008,INV-1008,VND-001,Acero Nacional SA,Materials,North,2024-10-07,Service Quality,41048.27,32516.08,Medium,Luis Herrera,Escalated,237,2025-01-25,110,Payment Adjusted,3979.16
DIS-0009,INV-1009,VND-001,Acero Nacional SA,Materials,North,2025-05-15,Service Quality,81479.35,28588.95,Low,Diego Castillo,Open,17,,,Pending,0.0
DIS-0010,INV-1010,VND-001,Acero Nacional SA,Materials,North,2024-09-18,Missing Goods,42585.03,31338.78,Medium,Sofia Ruiz,Resolved,256,2024-12-01,74,Partial Credit,20314.06
