invoice_id,customer_id,customer_name,customer_segment,region,sales_rep,collector,invoice_date,due_date,payment_terms,invoice_amount,paid_amount,outstanding_balance,payment_date,days_outstanding,days_overdue,payment_status,collection_status,payment_method,promise_to_pay_date,last_contact_date
RCV-0001,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-04-08,2025-04-23,15,36494.35,36494.35,0.0,2025-05-18,54,39,Paid,31-60 DPD,Wire,,
RCV-0002,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2024-12-09,2025-03-09,90,2286.29,2286.29,0.0,2025-04-15,174,84,Paid,61-90 DPD,Check,,
RCV-0003,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-04-13,2025-05-13,30,61863.16,61863.16,0.0,2025-05-03,49,19,Paid,1-30 DPD,Credit Card,,
RCV-0004,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-04-27,2025-05-12,15,67016.54,15630.57,51385.97,2025-05-10,35,20,Partial,1-30 DPD,Check,2025-07-01,2025-05-29
RCV-0005,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-01-04,2025-03-05,60,72247.85,72247.85,0.0,2025-02-27,148,88,Paid,61-90 DPD,ACH,,
RCV-0006,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-03-04,2025-03-19,15,13201.05,13201.05,0.0,2025-04-23,89,74,Paid,61-90 DPD,Credit Card,,
RCV-0007,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-04-30,2025-06-14,45,54481.48,0.0,54481.48,,32,0,Current,Current,ACH,,
RCV-0008,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-01-12,2025-01-27,15,99726.12,99726.12,0.0,2025-03-07,140,125,Paid,90+ DPD,Credit Card,,
RCV-0009,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-01-12,2025-02-11,30,27860.79,27860.79,0.0,2025-02-16,140,110,Paid,90+ DPD,Credit Card,,
RCV-0010,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-02-18,2025-03-05,15,113774.58,113774.58,0.0,2025-05-09,103,88,Paid,61-90 DPD,ACH,,
RCV-0011,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-05-17,2025-07-01,45,91698.57,91698.57,0.0,2025-06-19,15,0,Paid,Current,Credit Card,,
RCV-0012,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-01-03,2025-03-04,60,8602.82,8602.82,0.0,2025-04-15,149,89,Paid,61-90 DPD,Credit Card,,
RCV-0013,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-05-03,2025-06-02,30,37191.74,37191.74,0.0,2025-05-19,29,0,Paid,Current,ACH,,
RCV-0014,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-02-26,2025-04-27,60,69918.84,69918.84,0.0,2025-05-07,95,35,Paid,31-60 DPD,ACH,,
RCV-0015,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-05-21,2025-06-05,15,30308.89,30308.89,0.0,2025-05-28,11,0,Paid,Current,Credit Card,,
RCV-0016,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-01-26,2025-02-10,15,106283.45,106283.45,0.0,2025-02-21,126,111,Paid,90+ DPD,Wire,,
RCV-0017,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-05-05,2025-06-04,30,21381.35,21381.35,0.0,2025-06-02,27,0,Paid,Current,ACH,,
RCV-0018,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-03-29,2025-06-27,90,92815.03,0.0,92815.03,,64,0,Current,Current,Credit Card,,
RCV-0019,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-03-20,2025-06-18,90,101026.72,0.0,101026.72,,73,0,Current,Current,ACH,,
RCV-0020,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-02-10,2025-03-27,45,65832.64,14675.74,51156.9,2025-04-27,111,66,Partial,61-90 DPD,Check,2025-06-05,2025-06-01
RCV-0021,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-04-21,2025-05-06,15,12613.02,6825.89,5787.13,2025-05-19,41,26,Partial,1-30 DPD,ACH,2025-06-25,2025-05-26
RCV-0022,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-03-16,2025-05-15,60,105513.93,105513.93,0.0,2025-05-09,77,17,Paid,1-30 DPD,Credit Card,,
RCV-0023,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-03-24,2025-05-08,45,103987.71,103987.71,0.0,2025-05-29,69,24,Paid,1-30 DPD,ACH,,
RCV-0024,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-03-08,2025-04-07,30,93552.62,93552.62,0.0,2025-05-21,85,55,Paid,31-60 DPD,Check,,
RCV-0025,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-01-25,2025-04-25,90,48477.68,48477.68,0.0,2025-05-12,127,37,Paid,31-60 DPD,Credit Card,,
RCV-0026,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-02-20,2025-05-21,90,101527.15,101527.15,0.0,2025-06-01,101,11,Paid,1-30 DPD,Check,,
RCV-0027,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2024-12-06,2024-12-21,15,19114.34,19114.34,0.0,2025-02-04,177,162,Paid,90+ DPD,Check,,
RCV-0028,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-05-15,2025-06-14,30,109500.79,0.0,109500.79,,17,0,Current,Current,ACH,,
RCV-0029,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2024-12-28,2025-01-12,15,77456.14,77456.14,0.0,2025-02-07,155,140,Paid,90+ DPD,Wire,,
RCV-0030,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2024-12-11,2025-01-25,45,9136.46,9136.46,0.0,2025-02-25,172,127,Paid,90+ DPD,Credit Card,,
RCV-0031,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-05-07,2025-06-21,45,55548.9,55548.9,0.0,2025-05-17,25,0,Paid,Current,ACH,,
RCV-0032,CUST-001,Grupo Alfa SA,Enterprise,East,Carlos Reyes,Marco Torres,2025-01-21,2025-03-22,60,95017.31,95017.31,0.0,2025-02-18,131,71,Paid,61-90 DPD,ACH,,
RCV-0033,CUST-002,Retail Mega Corp,Retail,North,Sofia Martinez,Marco Torres,2024-12-15,2025-01-29,45,98476.5,0.0,98476.5,,168,123,Overdue,90+ DPD,Check,,2025-05-24
