transaction_id,date,period,year,month,quarter,category,flow_type,department,region,counterparty,reference,budget_amount,actual_amount,forecast_amount,variance,variance_pct,data_type,is_favorable
CF-0017,2025-01-01,Jan 2025,2025,1,Q1,AP Payments,Outflow,Finance,East,TechCore Solutions,PO-64676,36988.07,40588.56,40588.56,3600.49,9.7,Actual,No
CF-0015,2025-01-03,Jan 2025,2025,1,Q1,AP Payments,Outflow,Finance,West,Acme Supplies Co.,PO-76433,24342.95,23438.13,23438.13,-904.82,-3.7,Actual,Yes
CF-0024,2025-01-05,Jan 2025,2025,1,Q1,Operating Expenses,Outflow,Sales,West,OfficePro Services,EXP-4352,22614.19,23608.54,23608.54,994.35,4.4,Actual,No
CF-0004,2025-01-06,Jan 2025,2025,1,Q1,AR Collections,Inflow,Finance,East,Pacific Distributors,INV-54597,61252.02,54531.75,54531.75,-6720.27,-11.0,Actual,No
CF-0010,2025-01-06,Jan 2025,2025,1,Q1,Product Sales,Inflow,Sales,Central,Redwood Consulting,ORD-7005,76776.14,68532.15,68532.15,-8243.99,-10.7,Actual,No
CF-0003,2025-01-07,Jan 2025,2025,1,Q1,AR Collections,Inflow,Finance,North,Redwood Consulting,INV-64987,19512.55,18816.23,18816.23,-696.32,-3.6,Actual,No
CF-0012,2025-01-07,Jan 2025,2025,1,Q1,Service Revenue,Inflow,Sales,West,Titan Manufacturing,SVC-4589,23512.86,22530.95,22530.95,-981.91,-4.2,Actual,No
CF-0020,2025-01-07,Jan 2025,2025,1,Q1,Payroll,Outflow,HR,East,Payroll Processing,PAY-202501-1,164166.93,152350.7,152350.7,-11816.23,-7.2,Actual,Yes
CF-0023,2025-01-08,Jan 2025,2025,1,Q1,Operating Expenses,Outflow,IT,Central,TechCore Solutions,EXP-3701,10507.4,11994.13,11994.13,1486.73,14.1,Actual,No
CF-0009,2025-01-12,Jan 2025,2025,1,Q1,Product Sales,Inflow,Sales,North,Harmon Industries,ORD-7187,38825.6,42499.36,42499.36,3673.76,9.5,Actual,Yes
CF-0005,2025-01-13,Jan 2025,2025,1,Q1,AR Collections,Inflow,Finance,North,Meridian Corp,INV-57052,23825.99,26116.22,26116.22,2290.23,9.6,Actual,Yes
CF-0016,2025-01-13,Jan 2025,2025,1,Q1,AP Payments,Outflow,Finance,Central,CloudSys Inc.,PO-59052,27470.73,29031.86,29031.86,1561.13,5.7,Actual,No
CF-0002,2025-01-14,Jan 2025,2025,1,Q1,AR Collections,Inflow,Finance,Central,Apex Retail Group,INV-13905,22955.51,19736.95,19736.95,-3218.56,-14.0,Actual,No
CF-0018,2025-01-14,Jan 2025,2025,1,Q1,AP Payments,Outflow,Finance,East,FastShip Logistics,PO-49735,10015.88,9710.22,9710.22,-305.66,-3.1,Actual,Yes
CF-0026,2025-01-15,Jan 2025,2025,1,Q1,CAPEX,Outflow,IT,Central,BuildRight Materials,CAP-1920,110162.18,84746.75,84746.75,-25415.43,-23.1,Actual,Yes
CF-0022,2025-01-16,Jan 2025,2025,1,Q1,Operating Expenses,Outflow,Finance,East,TechCore Solutions,EXP-5973,18775.73,22161.87,22161.87,3386.14,18.0,Actual,No
CF-0006,2025-01-18,Jan 2025,2025,1,Q1,AR Collections,Inflow,Finance,Central,Meridian Corp,INV-59615,59594.71,51865.53,51865.53,-7729.18,-13.0,Actual,No
CF-0014,2025-01-19,Jan 2025,2025,1,Q1,AP Payments,Outflow,Finance,South,CloudSys Inc.,PO-78839,15458.7,14884.8,14884.8,-573.9,-3.7,Actual,Yes
CF-0021,2025-01-21,Jan 2025,2025,1,Q1,Payroll,Outflow,HR,Central,Payroll Processing,PAY-202501-2,156251.08,166962.22,166962.22,10711.14,6.9,Actual,No
CF-0007,2025-01-23,Jan 2025,2025,1,Q1,Product Sales,Inflow,Sales,North,Meridian Corp,ORD-5375,74074.93,81984.36,81984.36,7909.43,10.7,Actual,Yes
CF-0001,2025-01-24,Jan 2025,2025,1,Q1,AR Collections,Inflow,Finance,Central,Nova Technologies,INV-42098,24345.87,24303.35,24303.35,-42.52,-0.2,Actual,No
CF-0019,2025-01-25,Jan 2025,2025,1,Q1,AP Payments,Outflow,Finance,East,FastShip Logistics,PO-53271,40987.97,46357.49,46357.49,5369.52,13.1,Actual,No
CF-0025,2025-01-25,Jan 2025,2025,1,Q1,CAPEX,Outflow,IT,West,PowerGrid Utilities,CAP-2634,113033.52,134493.93,134493.93,21460.41,19.0,Actual,No
CF-0011,2025-01-27,Jan 2025,2025,1,Q1,Service Revenue,Inflow,Sales,West,Apex Retail Group,SVC-1938,41438.41,46603.46,46603.46,5165.05,12.5,Actual,Yes
CF-0008,2025-01-28,Jan 2025,2025,1,Q1,Product Sales,Inflow,Sales,East,Meridian Corp,ORD-8113,97702.01,95507.88,95507.88,-2194.13,-2.2,Actual,No
CF-0013,2025-01-29,Jan 2025,2025,1,Q1,Interest Income,Inflow,Finance,Central,Bank of Commerce,INT-202501,2780.34,2449.17,2449.17,-331.17,-11.9,Actual,No
CF-0027,2025-02-01,Feb 2025,2025,2,Q1,AR Collections,Inflow,Finance,North,Meridian Corp,INV-92719,51541.09,42114.77,42114.77,-9426.32,-18.3,Actual,No
CF-0037,2025-02-02,Feb 2025,2025,2,Q1,Service Revenue,Inflow,Sales,North,Titan Manufacturing,SVC-4013,21361.14,22578.0,22578.0,1216.86,5.7,Actual,Yes
CF-0028,2025-02-03,Feb 2025,2025,2,Q1,AR Collections,Inflow,Finance,Central,Redwood Consulting,INV-41195,66999.22,63806.71,63806.71,-3192.51,-4.8,Actual,No
CF-0033,2025-02-03,Feb 2025,2025,2,Q1,Product Sales,Inflow,Sales,Central,ClearPath LLC,ORD-9508,46233.55,43297.21,43297.21,-2936.34,-6.4,Actual,No
CF-0034,2025-02-03,Feb 2025,2025,2,Q1,Product Sales,Inflow,Sales,West,Harmon Industries,ORD-6362,96062.34,93484.6,93484.6,-2577.74,-2.7,Actual,No
CF-0030,2025-02-04,Feb 2025,2025,2,Q1,AR Collections,Inflow,Finance,North,Pacific Distributors,INV-56438,28853.37,28187.5,28187.5,-665.87,-2.3,Actual,No
CF-0047,2025-02-04,Feb 2025,2025,2,Q1,Operating Expenses,Outflow,IT,East,FastShip Logistics,EXP-5231,11082.72,9921.0,9921.0,-1161.72,-10.5,Actual,Yes
CF-0035,2025-02-06,Feb 2025,2025,2,Q1,Product Sales,Inflow,Sales,West,Pacific Distributors,ORD-5017,101707.64,107155.04,107155.04,5447.4,5.4,Actual,Yes
CF-0032,2025-02-07,Feb 2025,2025,2,Q1,Product Sales,Inflow,Sales,West,Redwood Consulting,ORD-8675,46135.79,38949.71,38949.71,-7186.08,-15.6,Actual,No
CF-0045,2025-02-07,Feb 2025,2025,2,Q1,Payroll,Outflow,HR,Central,Payroll Processing,PAY-202502-1,163374.5,169119.15,169119.15,5744.65,3.5,Actual,No
CF-0044,2025-02-12,Feb 2025,2025,2,Q1,AP Payments,Outflow,Finance,West,TechCore Solutions,PO-77623,10768.44,9720.06,9720.06,-1048.38,-9.7,Actual,Yes
CF-0042,2025-02-13,Feb 2025,2025,2,Q1,AP Payments,Outflow,Finance,North,FastShip Logistics,PO-64019,14592.69,14499.43,14499.43,-93.26,-0.6,Actual,Yes
CF-0049,2025-02-14,Feb 2025,2025,2,Q1,Operating Expenses,Outflow,HR,East,Acme Supplies Co.,EXP-3029,7122.86,6318.96,6318.96,-803.9,-11.3,Actual,Yes
CF-0038,2025-02-16,Feb 2025,2025,2,Q1,Service Revenue,Inflow,Sales,Central,Redwood Consulting,SVC-4765,14156.12,13687.21,13687.21,-468.91,-3.3,Actual,No
CF-0029,2025-02-19,Feb 2025,2025,2,Q1,AR Collections,Inflow,Finance,West,Titan Manufacturing,INV-71953,25541.78,24071.75,24071.75,-1470.03,-5.8,Actual,No
CF-0040,2025-02-19,Feb 2025,2025,2,Q1,AP Payments,Outflow,Finance,West,BuildRight Materials,PO-57940,10315.92,10582.7,10582.7,266.78,2.6,Actual,No
CF-0041,2025-02-19,Feb 2025,2025,2,Q1,AP Payments,Outflow,Finance,East,OfficePro Services,PO-40733,29665.43,28703.91,28703.91,-961.52,-3.2,Actual,Yes
CF-0043,2025-02-20,Feb 2025,2025,2,Q1,AP Payments,Outflow,Finance,East,SafetyFirst Supplies,PO-26552,6335.36,5483.46,5483.46,-851.9,-13.4,Actual,Yes
CF-0031,2025-02-21,Feb 2025,2025,2,Q1,Product Sales,Inflow,Sales,North,Meridian Corp,ORD-5496,80543.72,75627.58,75627.58,-4916.14,-6.1,Actual,No
CF-0046,2025-02-21,Feb 2025,2025,2,Q1,Payroll,Outflow,HR,North,Payroll Processing,PAY-202502-2,80782.31,77868.04,77868.04,-2914.27,-3.6,Actual,Yes
CF-0048,2025-02-21,Feb 2025,2025,2,Q1,Operating Expenses,Outflow,HR,North,OfficePro Services,EXP-7002,9682.74,10155.46,10155.46,472.72,4.9,Actual,No
CF-0036,2025-02-24,Feb 2025,2025,2,Q1,Service Revenue,Inflow,Sales,East,Redwood Consulting,SVC-3711,30189.32,28499.81,28499.81,-1689.51,-5.6,Actual,No
CF-0039,2025-02-27,Feb 2025,2025,2,Q1,Interest Income,Inflow,Finance,South,Bank of Commerce,INT-202502,1360.5,1166.82,1166.82,-193.68,-14.2,Actual,No
CF-0058,2025-03-03,Mar 2025,2025,3,Q1,Product Sales,Inflow,Sales,Central,Nova Technologies,ORD-7876,48681.26,49122.35,49122.35,441.09,0.9,Actual,Yes
CF-0059,2025-03-04,Mar 2025,2025,3,Q1,Service Revenue,Inflow,Sales,North,Nova Technologies,SVC-1731,52387.2,58730.3,58730.3,6343.1,12.1,Actual,Yes
CF-0066,2025-03-07,Mar 2025,2025,3,Q1,AP Payments,Outflow,Finance,West,CloudSys Inc.,PO-71495,16939.5,17487.6,17487.6,548.1,3.2,Actual,No
