record_id,vendor_id,vendor_name,category,region,status,period,year,month,quarter,invoice_amount,payment_days,on_time,quality_score,defect_rate,order_count,dispute_count
VP-0018,V-LOG-01,Logistics Vendor 01,Logistics,West,Active,Jan 2025,2025,1,Q1,109386.59,23,Yes,75.8,0.2555,12,0
VP-0019,V-LOG-02,Logistics Vendor 02,Logistics,North,Active,Jan 2025,2025,1,Q1,63552.85,27,Yes,93.8,0.0659,15,0
VP-0020,V-LOG-03,Logistics Vendor 03,Logistics,North,Active,Jan 2025,2025,1,Q1,90406.83,26,Yes,66.7,0.4203,1,0
VP-0021,V-LOG-04,Logistics Vendor 04,Logistics,South,Active,Jan 2025,2025,1,Q1,90612.68,64,No,75.7,0.3394,15,0
VP-0022,V-LOG-05,Logistics Vendor 05,Logistics,North,Probation,Jan 2025,2025,1,Q1,89366.57,78,No,62.8,0.3009,11,0
VP-0006,V-OFF-01,Office Supplies Vendor 01,Office Supplies,East,Active,Jan 2025,2025,1,Q1,199563.53,39,Yes,100,0.0,11,0
VP-0007,V-OFF-02,Office Supplies Vendor 02,Office Supplies,West,Active,Jan 2025,2025,1,Q1,188995.97,34,Yes,81.0,0.2771,14,0
VP-0008,V-OFF-03,Office Supplies Vendor 03,Office Supplies,North,Active,Jan 2025,2025,1,Q1,104163.47,72,Yes,98.6,0.0172,14,0
VP-0009,V-OFF-04,Office Supplies Vendor 04,Office Supplies,Central,Active,Jan 2025,2025,1,Q1,60778.07,70,Yes,86.6,0.103,2,0
VP-0010,V-OFF-05,Office Supplies Vendor 05,Office Supplies,South,Active,Jan 2025,2025,1,Q1,230240.69,66,No,89.5,0.0831,13,0
VP-0011,V-OFF-06,Office Supplies Vendor 06,Office Supplies,Central,Active,Jan 2025,2025,1,Q1,155479.6,39,Yes,77.4,0.2916,12,0
VP-0023,V-PRO-01,Professional Services Vendor 01,Professional Services,South,Probation,Jan 2025,2025,1,Q1,89403.58,35,Yes,84.1,0.1255,4,0
VP-0024,V-PRO-02,Professional Services Vendor 02,Professional Services,South,Active,Jan 2025,2025,1,Q1,151489.58,46,Yes,90.2,0.0524,6,0
VP-0025,V-PRO-03,Professional Services Vendor 03,Professional Services,Central,Active,Jan 2025,2025,1,Q1,45324.93,36,Yes,78.2,0.2894,8,0
VP-0026,V-PRO-04,Professional Services Vendor 04,Professional Services,North,Inactive,Jan 2025,2025,1,Q1,167576.17,53,Yes,87.2,0.1283,10,0
VP-0027,V-PRO-05,Professional Services Vendor 05,Professional Services,North,Probation,Jan 2025,2025,1,Q1,64986.13,41,Yes,65.6,0.2304,4,0
VP-0028,V-PRO-06,Professional Services Vendor 06,Professional Services,North,Active,Jan 2025,2025,1,Q1,174223.55,37,Yes,69.1,0.1664,3,0
VP-0012,V-RAW-01,Raw Materials Vendor 01,Raw Materials,South,Active,Jan 2025,2025,1,Q1,168343.97,22,Yes,91.3,0.1125,7,0
VP-0013,V-RAW-02,Raw Materials Vendor 02,Raw Materials,East,Inactive,Jan 2025,2025,1,Q1,81796.25,80,Yes,74.3,0.3046,2,1
VP-0014,V-RAW-03,Raw Materials Vendor 03,Raw Materials,Central,Probation,Jan 2025,2025,1,Q1,95607.61,37,Yes,68.6,0.4286,11,1
VP-0015,V-RAW-04,Raw Materials Vendor 04,Raw Materials,East,Probation,Jan 2025,2025,1,Q1,91267.62,65,Yes,80.9,0.2537,14,1
