record_id,customer_id,customer_name,segment,region,credit_limit,credit_used,credit_utilization,outstanding_balance,overdue_balance,days_overdue,risk_score,risk_category,payment_history,on_time_payments,late_payments,write_off_amount,period,year,month,quarter
CR-0001,C-ENT-01,Enterprise Client 01,Enterprise,South,1448000,629735,0.4349,279817,0,0,25.4,Medium,Fair,2,0,0.0,Jan 2025,2025,1,Q1
CR-0002,C-ENT-02,Enterprise Client 02,Enterprise,West,1885000,1646736,0.8736,888681,0,0,14.3,Low,Good,5,0,0.0,Jan 2025,2025,1,Q1
CR-0003,C-ENT-03,Enterprise Client 03,Enterprise,Central,665000,489374,0.7359,391619,0,0,22.4,Low,Good,2,0,0.0,Jan 2025,2025,1,Q1
CR-0004,C-ENT-04,Enterprise Client 04,Enterprise,West,1991000,1795484,0.9018,1482154,0,0,20.6,Low,Fair,2,1,0.0,Jan 2025,2025,1,Q1
CR-0005,C-ENT-05,Enterprise Client 05,Enterprise,North,1365000,418372,0.3065,286475,0,0,8.9,Low,Good,8,0,0.0,Jan 2025,2025,1,Q1
CR-0006,C-ENT-06,Enterprise Client 06,Enterprise,West,1536000,1308979,0.8522,916449,0,0,8.1,Low,Fair,10,0,0.0,Jan 2025,2025,1,Q1
CR-0007,C-ENT-07,Enterprise Client 07,Enterprise,South,708000,573905,0.8106,245119,0,0,6.9,Low,Good,10,0,0.0,Jan 2025,2025,1,Q1
CR-0008,C-ENT-08,Enterprise Client 08,Enterprise,South,1363000,831566,0.6101,265934,50959,7,32.1,Medium,Good,7,0,0.0,Jan 2025,2025,1,Q1
CR-0025,C-GOV-01,Government Client 01,Government,North,883000,288741,0.327,116567,0,0,7.2,Low,Good,6,0,0.0,Jan 2025,2025,1,Q1
CR-0026,C-GOV-02,Government Client 02,Government,South,1447000,856624,0.592,551627,0,0,21.5,Low,Fair,6,3,0.0,Jan 2025,2025,1,Q1
CR-0027,C-GOV-03,Government Client 03,Government,North,435000,398416,0.9159,325623,0,0,29.0,Medium,Fair,7,1,0.0,Jan 2025,2025,1,Q1
CR-0028,C-GOV-04,Government Client 04,Government,Central,1121000,642781,0.5734,219654,0,0,18.2,Low,Fair,9,3,0.0,Jan 2025,2025,1,Q1
CR-0029,C-GOV-05,Government Client 05,Government,East,894000,338558,0.3787,161840,0,0,15.5,Low,Good,9,0,0.0,Jan 2025,2025,1,Q1
CR-0030,C-GOV-06,Government Client 06,Government,North,653000,440187,0.6741,132830,0,0,23.4,Low,Good,9,0,0.0,Jan 2025,2025,1,Q1
CR-0031,C-GOV-07,Government Client 07,Government,South,324000,241639,0.7458,203165,0,0,0,Low,Good,6,0,0.0,Jan 2025,2025,1,Q1
CR-0032,C-GOV-08,Government Client 08,Government,East,902000,382358,0.4239,149049,0,0,0.8,Low,Fair,2,4,0.0,Jan 2025,2025,1,Q1
CR-0017,C-RET-01,Retail Client 01,Retail,Central,60000,50862,0.8477,42133,0,0,16.0,Low,Good,9,0,0.0,Jan 2025,2025,1,Q1
CR-0018,C-RET-02,Retail Client 02,Retail,North,118000,42386,0.3592,18573,9491,155,87.7,Critical,Poor,4,0,969.78,Jan 2025,2025,1,Q1
CR-0019,C-RET-03,Retail Client 03,Retail,Central,153000,39199,0.2562,15785,0,0,9.4,Low,Good,6,0,0.0,Jan 2025,2025,1,Q1
CR-0020,C-RET-04,Retail Client 04,Retail,Central,143000,127885,0.8943,103827,54607,78,64.0,High,Poor,2,0,0.0,Jan 2025,2025,1,Q1
CR-0021,C-RET-05,Retail Client 05,Retail,Central,72000,35244,0.4895,22285,0,0,8.7,Low,Good,8,0,0.0,Jan 2025,2025,1,Q1
CR-0022,C-RET-06,Retail Client 06,Retail,Central,103000,84553,0.8209,66869,0,0,25.5,Medium,Fair,7,1,0.0,Jan 2025,2025,1,Q1
CR-0023,C-RET-07,Retail Client 07,Retail,West,147000,49701,0.3381,27665,0,0,27.2,Medium,Fair,10,3,0.0,Jan 2025,2025,1,Q1
CR-0024,C-RET-08,Retail Client 08,Retail,North,106000,46619,0.4398,24297,0,0,27.9,Medium,Fair,6,0,0.0,Jan 2025,2025,1,Q1
CR-0009,C-SMB-01,SMB Client 01,SMB,North,274000,213994,0.781,86453,0,0,14.1,Low,Good,10,0,0.0,Jan 2025,2025,1,Q1
CR-0010,C-SMB-02,SMB Client 02,SMB,South,128000,37568,0.2935,11887,4440,71,59.8,High,Fair,9,3,0.0,Jan 2025,2025,1,Q1
CR-0011,C-SMB-03,SMB Client 03,SMB,North,317000,315130,0.9941,152399,71581,3,75.6,Critical,Poor,8,3,6337.55,Jan 2025,2025,1,Q1
CR-0012,C-SMB-04,SMB Client 04,SMB,South,101000,94718,0.9378,71799,3661,45,48.0,Medium,Good,4,0,0.0,Jan 2025,2025,1,Q1
CR-0013,C-SMB-05,SMB Client 05,SMB,North,203000,65102,0.3207,54215,0,0,4.9,Low,Good,2,0,0.0,Jan 2025,2025,1,Q1
CR-0014,C-SMB-06,SMB Client 06,SMB,West,108000,61474,0.5692,50161,0,0,15.3,Low,Fair,2,2,0.0,Jan 2025,2025,1,Q1
CR-0015,C-SMB-07,SMB Client 07,SMB,South,201000,125384,0.6238,80823,0,0,14.4,Low,Fair,4,2,0.0,Jan 2025,2025,1,Q1
CR-0016,C-SMB-08,SMB Client 08,SMB,South,147000,126861,0.863,38440,17606,51,67.7,High,Poor,1,3,0.0,Jan 2025,2025,1,Q1
CR-0033,C-STA-01,Startup Client 01,Startup,North,91000,80917,0.8892,53167,10660,76,50.7,High,Fair,9,1,0.0,Jan 2025,2025,1,Q1
CR-0034,C-STA-02,Startup Client 02,Startup,West,67000,40682,0.6072,33397,4047,118,60.4,High,Poor,7,4,0.0,Jan 2025,2025,1,Q1
CR-0035,C-STA-03,Startup Client 03,Startup,West,120000,87360,0.728,67933,23265,3,66.2,High,Fair,5,0,0.0,Jan 2025,2025,1,Q1
CR-0036,C-STA-04,Startup Client 04,Startup,East,132000,110035,0.8336,78669,17674,97,52.6,High,Good,2,0,0.0,Jan 2025,2025,1,Q1
CR-0037,C-STA-05,Startup Client 05,Startup,North,142000,122546,0.863,67194,25077,30,54.9,High,Fair,3,2,0.0,Jan 2025,2025,1,Q1
CR-0038,C-STA-06,Startup Client 06,Startup,North,65000,27859,0.4286,19752,375,36,37.3,Medium,Fair,6,0,0.0,Jan 2025,2025,1,Q1
CR-0039,C-STA-07,Startup Client 07,Startup,South,131000,61046,0.466,50232,22966,117,64.5,High,Good,3,0,0.0,Jan 2025,2025,1,Q1
CR-0040,C-STA-08,Startup Client 08,Startup,West,88000,38694,0.4397,14468,3584,66,58.6,High,Fair,4,4,0.0,Jan 2025,2025,1,Q1
CR-0041,C-ENT-01,Enterprise Client 01,Enterprise,South,1448000,688524,0.4755,584859,0,0,24.1,Low,Fair,6,3,0.0,Feb 2025,2025,2,Q1
CR-0042,C-ENT-02,Enterprise Client 02,Enterprise,West,1885000,1582646,0.8396,1169995,0,0,12.2,Low,Good,8,0,0.0,Feb 2025,2025,2,Q1
CR-0043,C-ENT-03,Enterprise Client 03,Enterprise,Central,665000,509590,0.7663,206333,0,0,21.6,Low,Good,2,0,0.0,Feb 2025,2025,2,Q1
CR-0044,C-ENT-04,Enterprise Client 04,Enterprise,West,1991000,1919921,0.9643,665613,0,0,21.0,Low,Fair,6,2,0.0,Feb 2025,2025,2,Q1
CR-0045,C-ENT-05,Enterprise Client 05,Enterprise,North,1365000,563472,0.4128,469379,0,0,10.6,Low,Good,3,0,0.0,Feb 2025,2025,2,Q1
CR-0046,C-ENT-06,Enterprise Client 06,Enterprise,West,1536000,1093478,0.7119,726324,0,0,15.1,Low,Fair,6,1,0.0,Feb 2025,2025,2,Q1
