record_id,period,year,month,quarter,transaction_type,entity_name,entity_segment,region,invoice_amount,paid_amount,outstanding_balance,overdue_amount,days_overdue,aging_bucket,status,payment_terms
643,2026-02,2026,2,Q1,AP,InfoSys Partners,Consulting,West,69056.79,6025.08,63031.71,63031.71,111,90+,Overdue,2/10 Net 30
102,2026-01,2026,1,Q1,AR,River Trade,Retail,East,69792.35,0.0,69792.35,0.0,0,Current,Current,Net 30
462,2025-03,2025,3,Q1,AP,Master Builders,Manufacturing,East,81439.4,17451.29,63988.11,0.0,0,Current,Partial,Net 45
642,2026-02,2026,2,Q1,AP,FirmBase Infra,Technology,West,8034.34,700.27,7334.07,7334.07,80,61-90,Overdue,Net 60
111,2025-11,2025,11,Q4,AR,Apex Corp,Enterprise,South,108135.34,0.0,108135.34,0.0,0,Current,Current,Net 30
658,2026-03,2026,3,Q1,AP,Java Components,Manufacturing,West,177338.33,0.0,177338.33,0.0,0,Current,Current,Net 90
21,2025-06,2025,6,Q2,AR,IronClad Stores,Retail,West,113567.03,70185.99,43381.04,0.0,0,Current,Partial,2/10 Net 30
150,2025-03,2025,3,Q1,AR,Apex Corp,Enterprise,East,235355.36,0.0,235355.36,0.0,0,Current,Current,2/10 Net 30
199,2025-05,2025,5,Q2,AR,Quantum Ltd,SMB,West,86017.6,17809.26,68208.34,0.0,0,Current,Partial,Net 90
277,2025-01,2025,1,Q1,AR,Kite Ventures,Startup,North,37382.91,578.7,36804.21,36804.21,104,90+,Overdue,Net 30
418,2026-01,2026,1,Q1,AP,Prime Vendors,Consulting,West,117788.88,14750.8,103038.08,103038.08,81,61-90,Overdue,Net 30
381,2026-01,2026,1,Q1,AP,General Utilities,Utilities,West,62814.24,31055.71,31758.53,31758.53,60,31-60,Partial,Net 90
395,2026-06,2026,6,Q2,AP,LightHouse Media,Marketing,North,41933.28,11728.12,30205.16,30205.16,33,31-60,Partial,Net 45
474,2025-02,2025,2,Q1,AP,General Utilities,Utilities,West,120883.4,80763.12,40120.28,40120.28,43,31-60,Partial,Net 45
91,2025-03,2025,3,Q1,AR,Kite Ventures,Startup,Central,181085.77,42412.17,138673.6,138673.6,28,1-30,Partial,Net 90
23,2026-03,2026,3,Q1,AR,Jupiter Startup,Startup,West,196923.57,28614.26,168309.31,168309.31,37,31-60,Overdue,Net 90
365,2026-05,2026,5,Q2,AP,General Utilities,Utilities,East,9974.81,3643.82,6330.99,6330.99,37,31-60,Partial,Net 90
499,2026-02,2026,2,Q1,AP,Java Components,Manufacturing,West,87226.27,0.0,87226.27,0.0,0,Current,Current,Net 30
227,2025-02,2025,2,Q1,AR,Apex Corp,Enterprise,West,21652.15,0.0,21652.15,0.0,0,Current,Current,Net 45
129,2026-02,2026,2,Q1,AR,Jupiter Startup,Startup,North,47108.93,47108.93,0.0,0.0,15,1-30,Paid,2/10 Net 30
160,2025-06,2025,6,Q2,AR,River Trade,Retail,East,166925.21,0.0,166925.21,0.0,0,Current,Current,Net 60
494,2025-12,2025,12,Q4,AP,HarbourFreight,Logistics,South,103976.23,0.0,103976.23,0.0,0,Current,Current,2/10 Net 30
144,2025-12,2025,12,Q4,AR,Harbor Shops,Retail,West,197031.09,26716.66,170314.43,170314.43,38,31-60,Overdue,Net 45
616,2025-03,2025,3,Q1,AP,Acme Supplies,Office,West,84293.06,36404.51,47888.55,47888.55,24,1-30,Partial,2/10 Net 30
35,2025-06,2025,6,Q2,AR,National Agency,Government,North,196684.69,65575.24,131109.45,0.0,0,Current,Partial,Net 90
20,2025-02,2025,2,Q1,AR,Delta Inc,SMB,North,216109.77,58369.34,157740.43,157740.43,7,1-30,Partial,Net 45
4,2025-12,2025,12,Q4,AR,IronClad Stores,Retail,North,243413.36,22583.4,220829.96,220829.96,48,31-60,Overdue,Net 90
71,2026-04,2026,4,Q2,AR,Oak Institute,Government,East,235560.58,0.0,235560.58,0.0,0,Current,Current,Net 90
662,2025-12,2025,12,Q4,AP,Prime Vendors,Consulting,Central,93520.37,30426.38,63093.99,63093.99,106,90+,Partial,Net 45
132,2025-05,2025,5,Q2,AR,Harbor Shops,Retail,North,152587.75,0.0,152587.75,0.0,0,Current,Current,Net 30
611,2025-11,2025,11,Q4,AP,HarbourFreight,Logistics,East,115925.86,14867.56,101058.3,101058.3,29,1-30,Overdue,2/10 Net 30
172,2025-03,2025,3,Q1,AR,IronClad Stores,Retail,South,35666.72,3429.29,32237.43,32237.43,48,31-60,Overdue,Net 60
554,2025-05,2025,5,Q2,AP,Crown Logistics,Logistics,West,117062.09,0.0,117062.09,0.0,0,Current,Current,Net 90
349,2025-01,2025,1,Q1,AR,Peak Analytics,Enterprise,East,100127.36,0.0,100127.36,0.0,0,Current,Current,Net 30
307,2026-02,2026,2,Q1,AR,Metro Bank,Government,West,47337.77,0.0,47337.77,0.0,0,Current,Current,Net 45
408,2025-02,2025,2,Q1,AP,Reliant Power,Utilities,West,121888.29,54069.06,67819.23,67819.23,4,1-30,Partial,Net 60
493,2025-01,2025,1,Q1,AP,InfoSys Partners,Consulting,Central,104175.29,2162.81,102012.48,102012.48,2,1-30,Overdue,Net 30
524,2026-05,2026,5,Q2,AP,Dura Materials,Manufacturing,South,126212.2,126212.2,0.0,0.0,44,31-60,Paid,Net 45
285,2026-01,2026,1,Q1,AR,Quantum Ltd,SMB,East,106780.84,9867.3,96913.54,96913.54,51,31-60,Overdue,Net 90
123,2025-07,2025,7,Q3,AR,Metro Bank,Government,West,81351.16,52200.69,29150.47,29150.47,25,1-30,Partial,Net 60
244,2025-04,2025,4,Q2,AR,Echo Solutions,SMB,East,211195.28,0.0,211195.28,0.0,0,Current,Current,Net 90
588,2025-04,2025,4,Q2,AP,OmniSource,Office,East,104127.99,0.0,104127.99,0.0,0,Current,Current,Net 60
